year,state,cash,food,cashfood,cash_rs,food_rs,cashfood_rs,rk_cash,rk_cash_rs,rk_food,rk_food_rs,rk_cashfood,rk_cashfood_rs,,,,,,,,
Year,State,Cash,SNAP,Cash and Food,Cash (w/COLA),Food (w/COLA),Cash and Food (w/COLA),Rank Cash,Rank Cash (w/COLA),Rank Food,Rank Food (w/COLA),Rank Cash and Food,Rank Cash and Food (w/COLA),,,,,,,,
2001,Alabama,2.49,1.89,4.37,,,,50,,3,,50,,,,,,,,,
2001,Alaska,7.42,1.46,8.88,,,,1,,31,,1,,,,,,,,,
2001,Arizona,3.48,1.59,5.07,,,,32,,22,,32,,,,,,,,,
2001,Arkansas,2.69,1.82,4.51,,,,48,,5,,48,,,,,,,,,
2001,Californa,5.87,0.87,6.74,,,,3,,51,,6,,,,,,,,,
2001,Colorado,3.62,1.60,5.22,,,,30,,19,,29,,,,,,,,,
2001,Conneticut,3.99,1.43,5.43,,,,22,,34,,23,,,,,,,,,
2001,Delaware,3.29,1.64,4.93,,,,37,,17,,37,,,,,,,,,
2001,District of Columbia,4.40,1.45,5.85,,,,14,,32,,10,,,,,,,,,
2001,Florida,3.68,1.53,5.21,,,,29,,26,,30,,,,,,,,,
2001,Georgia,3.04,1.72,4.76,,,,42,,11,,42,,,,,,,,,
2001,Hawaii,5.52,2.89,8.41,,,,6,,1,,2,,,,,,,,,
2001,Idaho,3.33,1.63,4.97,,,,36,,18,,36,,,,,,,,,
2001,Illinois,3.34,1.65,4.99,,,,35,,16,,35,,,,,,,,,
2001,Indiana,3.22,1.71,4.93,,,,38,,12,,38,,,,,,,,,
2001,Iowa,4.19,1.41,5.60,,,,18,,36,,18,,,,,,,,,
2001,Kansas,4.00,1.49,5.49,,,,21,,27,,20,,,,,,,,,
2001,Kentucky,3.00,1.73,4.73,,,,45,,8,,45,,,,,,,,,
2001,Louisiana,3.12,1.70,4.81,,,,40,,14,,40,,,,,,,,,
2001,Maine,4.53,1.30,5.83,,,,11,,41,,11,,,,,,,,,
2001,Maryland,3.90,1.57,5.48,,,,25,,25,,21,,,,,,,,,
2001,Massachussetts,5.46,1.08,6.54,,,,7,,48,,7,,,,,,,,,
2001,Michigan,4.48,1.29,5.76,,,,13,,42,,14,,,,,,,,,
2001,Minnesota,6.26,0.93,7.19,,,,2,,50,,3,,,,,,,,,
2001,Mississippi,2.60,1.85,4.45,,,,49,,4,,49,,,,,,,,,
2001,Missouri,3.19,1.67,4.87,,,,39,,15,,39,,,,,,,,,
2001,Montana,4.66,1.23,5.89,,,,9,,46,,9,,,,,,,,,
2001,Nebraska,3.44,1.60,5.04,,,,34,,20,,34,,,,,,,,,
2001,Nevada,4.29,1.35,5.64,,,,17,,38,,17,,,,,,,,,
2001,New Hampshire,4.53,1.27,5.81,,,,10,,44,,12,,,,,,,,,
2001,New Jersey,3.73,1.58,5.31,,,,28,,23,,28,,,,,,,,,
2001,New Mexico,3.98,1.44,5.42,,,,23,,33,,24,,,,,,,,,
2001,New York,5.05,1.24,6.29,,,,8,,45,,8,,,,,,,,,
2001,North Carolina,2.99,1.73,4.72,,,,46,,7,,46,,,,,,,,,
2001,North Dakota,4.33,1.33,5.66,,,,16,,39,,16,,,,,,,,,
2001,Ohio,4.50,1.28,5.78,,,,12,,43,,13,,,,,,,,,
2001,Oklahoma,3.44,1.60,5.04,,,,33,,21,,33,,,,,,,,,
2001,Oregon,3.93,1.48,5.41,,,,24,,29,,25,,,,,,,,,
2001,Pennsylvania,3.51,1.58,5.09,,,,31,,24,,31,,,,,,,,,
2001,Rhode Island,5.68,1.07,6.75,,,,5,,49,,5,,,,,,,,,
2001,South Carolina,2.87,1.77,4.64,,,,47,,6,,47,,,,,,,,,
2001,South Dakota,3.83,1.48,5.31,,,,27,,28,,27,,,,,,,,,
2001,Tennessee,3.02,1.73,4.75,,,,43,,10,,43,,,,,,,,,
2001,Texas,3.01,1.73,4.74,,,,44,,9,,44,,,,,,,,,
2001,Utah,4.18,1.38,5.56,,,,19,,37,,19,,,,,,,,,
2001,Vermont,5.74,1.09,6.82,,,,4,,47,,4,,,,,,,,,
2001,Virginia,3.09,1.70,4.80,,,,41,,13,,41,,,,,,,,,
2001,Washington,4.35,1.33,5.67,,,,15,,40,,15,,,,,,,,,
2001,West Virginia,4.02,1.43,5.44,,,,20,,35,,22,,,,,,,,,
2001,Wisconsin,2.33,1.91,4.24,,,,51,,2,,51,,,,,,,,,
2001,Wyoming,3.85,1.48,5.33,,,,26,,30,,26,,,,,,,,,
2002,Alabama,2.54,1.96,4.50,,,,50,,3,,50,,,,,,,,,
2002,Alaska,7.41,1.60,9.00,,,,1,,28,,1,,,,,,,,,
2002,Arizona,3.51,1.67,5.18,,,,33,,21,,33,,,,,,,,,
2002,Arkansas,2.73,1.90,4.63,,,,48,,5,,48,,,,,,,,,
2002,Californa,6.08,0.90,6.98,,,,3,,51,,4,,,,,,,,,
2002,Colorado,3.46,1.68,5.15,,,,34,,19,,35,,,,,,,,,
2002,Conneticut,3.83,1.57,5.41,,,,26,,29,,27,,,,,,,,,
2002,Delaware,3.33,1.72,5.05,,,,37,,16,,37,,,,,,,,,
2002,District of Columbia,4.43,1.53,5.96,,,,14,,33,,12,,,,,,,,,
2002,Florida,3.71,1.61,5.32,,,,29,,26,,29,,,,,,,,,
2002,Georgia,3.08,1.80,4.88,,,,42,,11,,42,,,,,,,,,
2002,Hawaii,5.49,2.95,8.44,,,,6,,1,,2,,,,,,,,,
2002,Idaho,3.43,1.69,5.12,,,,36,,18,,36,,,,,,,,,
2002,Illinois,3.46,1.71,5.16,,,,35,,17,,34,,,,,,,,,
2002,Indiana,3.25,1.79,5.04,,,,38,,12,,38,,,,,,,,,
2002,Iowa,4.21,1.50,5.71,,,,18,,36,,18,,,,,,,,,
2002,Kansas,4.13,1.57,5.70,,,,20,,30,,20,,,,,,,,,
2002,Kentucky,3.04,1.81,4.85,,,,46,,7,,46,,,,,,,,,
2002,Louisiana,3.16,1.78,4.93,,,,40,,14,,40,,,,,,,,,
2002,Maine,4.67,1.35,6.02,,,,11,,43,,10,,,,,,,,,
2002,Maryland,4.09,1.61,5.70,,,,21,,25,,19,,,,,,,,,
2002,Massachussetts,5.45,1.17,6.63,,,,7,,47,,7,,,,,,,,,
2002,Michigan,4.48,1.38,5.86,,,,13,,41,,14,,,,,,,,,
2002,Minnesota,6.36,1.00,7.36,,,,2,,50,,3,,,,,,,,,
2002,Mississippi,2.65,1.93,4.58,,,,49,,4,,49,,,,,,,,,
2002,Missouri,3.23,1.75,4.98,,,,39,,15,,39,,,,,,,,,
2002,Montana,4.73,1.30,6.03,,,,9,,46,,9,,,,,,,,,
2002,Nebraska,3.52,1.67,5.19,,,,32,,22,,32,,,,,,,,,
2002,Nevada,4.32,1.43,5.75,,,,17,,38,,17,,,,,,,,,
2002,New Hampshire,4.69,1.32,6.00,,,,10,,45,,11,,,,,,,,,
2002,New Jersey,3.80,1.66,5.46,,,,27,,23,,25,,,,,,,,,
2002,New Mexico,4.00,1.52,5.52,,,,23,,34,,23,,,,,,,,,
2002,New York,5.14,1.32,6.46,,,,8,,44,,8,,,,,,,,,
2002,North Carolina,3.04,1.81,4.85,,,,45,,8,,45,,,,,,,,,
2002,North Dakota,4.34,1.42,5.76,,,,16,,39,,16,,,,,,,,,
2002,Ohio,4.50,1.37,5.87,,,,12,,42,,13,,,,,,,,,
2002,Oklahoma,3.57,1.68,5.25,,,,30,,20,,30,,,,,,,,,
2002,Oregon,3.95,1.57,5.52,,,,24,,31,,24,,,,,,,,,
2002,Pennsylvania,3.54,1.66,5.20,,,,31,,24,,31,,,,,,,,,
2002,Rhode Island,5.67,1.16,6.83,,,,5,,49,,6,,,,,,,,,
2002,South Carolina,2.92,1.85,4.76,,,,47,,6,,47,,,,,,,,,
2002,South Dakota,4.03,1.51,5.55,,,,22,,35,,22,,,,,,,,,
2002,Tennessee,3.08,1.80,4.88,,,,44,,9,,44,,,,,,,,,
2002,Texas,3.08,1.80,4.88,,,,43,,10,,43,,,,,,,,,
2002,Utah,4.19,1.47,5.66,,,,19,,37,,21,,,,,,,,,
2002,Vermont,5.80,1.16,6.96,,,,4,,48,,5,,,,,,,,,
2002,Virginia,3.13,1.78,4.91,,,,41,,13,,41,,,,,,,,,
2002,Washington,4.35,1.42,5.77,,,,15,,40,,15,,,,,,,,,
2002,West Virginia,3.73,1.60,5.34,,,,28,,27,,28,,,,,,,,,
2002,Wisconsin,2.40,1.98,4.38,,,,51,,2,,51,,,,,,,,,
2002,Wyoming,3.88,1.56,5.44,,,,25,,32,,26,,,,,,,,,
2003,Alabama,2.79,1.93,4.72,,,,49,,4,,49,,,,,,,,,
2003,Alaska,7.36,1.56,8.91,,,,1,,34,,1,,,,,,,,,
2003,Arizona,3.57,1.70,5.26,,,,33,,21,,34,,,,,,,,,
2003,Arkansas,2.82,1.92,4.74,,,,48,,5,,48,,,,,,,,,
2003,Californa,6.21,0.90,7.12,,,,3,,51,,4,,,,,,,,,
2003,Colorado,3.52,1.71,5.23,,,,35,,19,,35,,,,,,,,,
2003,Conneticut,3.88,1.60,5.49,,,,26,,28,,27,,,,,,,,,
2003,Delaware,3.39,1.75,5.14,,,,37,,16,,37,,,,,,,,,
2003,District of Columbia,4.47,1.57,6.03,,,,14,,32,,12,,,,,,,,,
2003,Florida,3.77,1.64,5.40,,,,29,,25,,29,,,,,,,,,
2003,Georgia,3.15,1.82,4.97,,,,44,,10,,44,,,,,,,,,
2003,Hawaii,5.47,3.06,8.53,,,,5,,1,,2,,,,,,,,,
2003,Idaho,3.48,1.72,5.21,,,,36,,18,,36,,,,,,,,,
2003,Illinois,3.53,1.74,5.27,,,,34,,17,,32,,,,,,,,,
2003,Indiana,3.23,1.83,5.06,,,,39,,9,,39,,,,,,,,,
2003,Iowa,4.22,1.54,5.76,,,,19,,35,,20,,,,,,,,,
2003,Kansas,4.17,1.60,5.77,,,,22,,29,,19,,,,,,,,,
2003,Kentucky,3.11,1.84,4.94,,,,46,,7,,46,,,,,,,,,
2003,Louisiana,3.22,1.80,5.03,,,,40,,14,,40,,,,,,,,,
2003,Maine,4.68,1.39,6.07,,,,11,,43,,10,,,,,,,,,
2003,Maryland,4.18,1.64,5.82,,,,20,,26,,17,,,,,,,,,
2003,Massachussetts,5.44,1.22,6.66,,,,6,,47,,6,,,,,,,,,
2003,Michigan,4.50,1.42,5.92,,,,13,,41,,14,,,,,,,,,
2003,Minnesota,6.41,1.03,7.44,,,,2,,50,,3,,,,,,,,,
2003,Mississippi,2.73,1.95,4.68,,,,50,,3,,50,,,,,,,,,
2003,Missouri,3.29,1.78,5.07,,,,38,,15,,38,,,,,,,,,
2003,Montana,4.75,1.34,6.09,,,,9,,46,,9,,,,,,,,,
2003,Nebraska,3.57,1.70,5.27,,,,32,,22,,33,,,,,,,,,
2003,Nevada,4.35,1.47,5.81,,,,17,,38,,18,,,,,,,,,
2003,New Hampshire,4.71,1.36,6.06,,,,10,,45,,11,,,,,,,,,
2003,New Jersey,3.88,1.69,5.57,,,,27,,23,,25,,,,,,,,,
2003,New Mexico,4.03,1.56,5.59,,,,23,,33,,24,,,,,,,,,
2003,New York,5.19,1.37,6.56,,,,8,,44,,7,,,,,,,,,
2003,North Carolina,3.11,1.84,4.94,,,,45,,8,,45,,,,,,,,,
2003,North Dakota,4.37,1.46,5.83,,,,16,,39,,16,,,,,,,,,
2003,Ohio,4.52,1.41,5.93,,,,12,,42,,13,,,,,,,,,
2003,Oklahoma,3.62,1.71,5.33,,,,30,,20,,30,,,,,,,,,
2003,Oregon,4.00,1.60,5.59,,,,24,,30,,23,,,,,,,,,
2003,Pennsylvania,3.60,1.69,5.28,,,,31,,24,,31,,,,,,,,,
2003,Rhode Island,5.29,1.21,6.50,,,,7,,48,,8,,,,,,,,,
2003,South Carolina,2.99,1.87,4.86,,,,47,,6,,47,,,,,,,,,
2003,South Dakota,4.18,1.51,5.70,,,,21,,36,,22,,,,,,,,,
2003,Tennessee,3.15,1.82,4.97,,,,43,,11,,43,,,,,,,,,
2003,Texas,3.17,1.82,4.98,,,,42,,12,,42,,,,,,,,,
2003,Utah,4.22,1.50,5.72,,,,18,,37,,21,,,,,,,,,
2003,Vermont,5.79,1.21,7.00,,,,4,,49,,5,,,,,,,,,
2003,Virginia,3.20,1.81,5.01,,,,41,,13,,41,,,,,,,,,
2003,Washington,4.37,1.46,5.83,,,,15,,40,,15,,,,,,,,,
2003,West Virginia,3.78,1.63,5.41,,,,28,,27,,28,,,,,,,,,
2003,Wisconsin,2.49,2.00,4.49,,,,51,,2,,51,,,,,,,,,
2003,Wyoming,3.93,1.59,5.52,,,,25,,31,,26,,,,,,,,,
2004,Alabama,2.83,1.88,4.71,,,,49,,4,,49,,,,,,,,,
2004,Alaska,7.26,1.44,8.69,,,,1,,38,,1,,,,,,,,,
2004,Arizona,3.57,1.66,5.23,,,,33,,21,,34,,,,,,,,,
2004,Arkansas,2.85,1.88,4.72,,,,48,,5,,48,,,,,,,,,
2004,Californa,6.24,0.86,7.10,,,,3,,51,,4,,,,,,,,,
2004,Colorado,3.53,1.67,5.21,,,,35,,19,,35,,,,,,,,,
2004,Conneticut,3.88,1.57,5.45,,,,26,,28,,27,,,,,,,,,
2004,Delaware,3.39,1.72,5.10,,,,37,,16,,37,,,,,,,,,
2004,District of Columbia,4.46,1.53,5.99,,,,13,,32,,11,,,,,,,,,
2004,Florida,3.77,1.60,5.37,,,,29,,25,,29,,,,,,,,,
2004,Georgia,3.17,1.78,4.95,,,,43,,11,,43,,,,,,,,,
2004,Hawaii,5.39,2.90,8.30,,,,6,,1,,2,,,,,,,,,
2004,Idaho,3.49,1.69,5.17,,,,36,,18,,36,,,,,,,,,
2004,Illinois,3.55,1.70,5.24,,,,34,,17,,33,,,,,,,,,
2004,Indiana,3.25,1.79,5.04,,,,39,,9,,39,,,,,,,,,
2004,Iowa,4.20,1.51,5.71,,,,20,,34,,19,,,,,,,,,
2004,Kansas,4.16,1.57,5.73,,,,21,,29,,18,,,,,,,,,
2004,Kentucky,3.13,1.79,4.92,,,,46,,7,,46,,,,,,,,,
2004,Louisiana,3.24,1.76,5.00,,,,40,,14,,40,,,,,,,,,
2004,Maine,4.63,1.37,6.00,,,,10,,44,,9,,,,,,,,,
2004,Maryland,4.23,1.60,5.82,,,,17,,27,,14,,,,,,,,,
2004,Massachussetts,5.38,1.20,6.58,,,,7,,47,,7,,,,,,,,,
2004,Michigan,4.48,1.39,5.87,,,,12,,42,,13,,,,,,,,,
2004,Minnesota,6.30,1.02,7.32,,,,2,,50,,3,,,,,,,,,
2004,Mississippi,2.77,1.90,4.67,,,,50,,3,,50,,,,,,,,,
2004,Missouri,3.31,1.74,5.05,,,,38,,15,,38,,,,,,,,,
2004,Montana,4.09,1.50,5.60,,,,22,,35,,22,,,,,,,,,
2004,Nebraska,3.60,1.65,5.25,,,,31,,24,,31,,,,,,,,,
2004,Nevada,4.34,1.43,5.78,,,,15,,39,,15,,,,,,,,,
2004,New Hampshire,4.66,1.33,6.00,,,,9,,45,,10,,,,,,,,,
2004,New Jersey,3.87,1.66,5.53,,,,27,,22,,25,,,,,,,,,
2004,New Mexico,4.02,1.53,5.54,,,,23,,33,,24,,,,,,,,,
2004,New York,5.56,1.22,6.78,,,,5,,46,,6,,,,,,,,,
2004,North Carolina,3.13,1.79,4.92,,,,45,,8,,45,,,,,,,,,
2004,North Dakota,4.35,1.43,5.78,,,,14,,41,,16,,,,,,,,,
2004,Ohio,4.49,1.38,5.88,,,,11,,43,,12,,,,,,,,,
2004,Oklahoma,3.63,1.67,5.30,,,,30,,20,,30,,,,,,,,,
2004,Oregon,3.99,1.56,5.55,,,,24,,30,,23,,,,,,,,,
2004,Pennsylvania,3.60,1.65,5.25,,,,32,,23,,32,,,,,,,,,
2004,Rhode Island,5.23,1.20,6.42,,,,8,,48,,8,,,,,,,,,
2004,South Carolina,3.03,1.82,4.86,,,,47,,6,,47,,,,,,,,,
2004,South Dakota,4.20,1.47,5.67,,,,19,,36,,21,,,,,,,,,
2004,Tennessee,3.16,1.78,4.95,,,,44,,10,,44,,,,,,,,,
2004,Texas,3.20,1.77,4.97,,,,42,,12,,42,,,,,,,,,
2004,Utah,4.20,1.47,5.68,,,,18,,37,,20,,,,,,,,,
2004,Vermont,5.74,1.19,6.93,,,,4,,49,,5,,,,,,,,,
2004,Virginia,3.23,1.76,4.99,,,,41,,13,,41,,,,,,,,,
2004,Washington,4.34,1.43,5.77,,,,16,,40,,17,,,,,,,,,
2004,West Virginia,3.78,1.60,5.38,,,,28,,26,,28,,,,,,,,,
2004,Wisconsin,2.54,1.95,4.50,,,,51,,2,,51,,,,,,,,,
2004,Wyoming,3.92,1.56,5.48,,,,25,,31,,26,,,,,,,,,
2005,Alabama,2.75,1.95,4.70,,,,49,,4,,49,,,,,,,,,
2005,Alaska,7.02,1.56,8.59,,,,1,,35,,1,,,,,,,,,
2005,Arizona,3.47,1.74,5.21,,,,32,,22,,33,,,,,,,,,
2005,Arkansas,2.77,1.95,4.71,,,,48,,5,,48,,,,,,,,,
2005,Californa,6.19,0.92,7.11,,,,3,,51,,4,,,,,,,,,
2005,Colorado,3.43,1.75,5.18,,,,34,,20,,34,,,,,,,,,
2005,Conneticut,3.76,1.65,5.41,,,,26,,29,,27,,,,,,,,,
2005,Delaware,3.29,1.79,5.08,,,,36,,17,,36,,,,,,,,,
2005,District of Columbia,4.50,1.62,6.11,,,,10,,32,,9,,,,,,,,,
2005,Florida,3.66,1.68,5.34,,,,28,,26,,28,,,,,,,,,
2005,Georgia,3.08,1.85,4.93,,,,44,,10,,44,,,,,,,,,
2005,Hawaii,5.19,3.04,8.23,,,,7,,1,,2,,,,,,,,,
2005,Idaho,3.37,1.77,5.14,,,,35,,19,,35,,,,,,,,,
2005,Illinois,3.45,1.77,5.22,,,,33,,18,,31,,,,,,,,,
2005,Indiana,3.16,1.86,5.02,,,,39,,8,,38,,,,,,,,,
2005,Iowa,4.05,1.60,5.65,,,,21,,34,,20,,,,,,,,,
2005,Kansas,4.04,1.65,5.69,,,,22,,30,,18,,,,,,,,,
2005,Kentucky,3.04,1.86,4.91,,,,47,,6,,47,,,,,,,,,
2005,Louisiana,3.15,1.83,4.99,,,,40,,14,,40,,,,,,,,,
2005,Maine,4.45,1.47,5.92,,,,11,,44,,11,,,,,,,,,
2005,Maryland,4.13,1.67,5.80,,,,17,,27,,14,,,,,,,,,
2005,Massachussetts,5.19,1.30,6.49,,,,6,,47,,7,,,,,,,,,
2005,Michigan,4.33,1.48,5.81,,,,13,,42,,13,,,,,,,,,
2005,Minnesota,6.20,1.10,7.29,,,,2,,50,,3,,,,,,,,,
2005,Mississippi,2.69,1.97,4.66,,,,50,,3,,50,,,,,,,,,
2005,Missouri,3.22,1.81,5.03,,,,37,,16,,37,,,,,,,,,
2005,Montana,4.11,1.54,5.65,,,,18,,38,,19,,,,,,,,,
2005,Nebraska,3.53,1.72,5.25,,,,29,,25,,30,,,,,,,,,
2005,Nevada,4.21,1.52,5.72,,,,15,,40,,15,,,,,,,,,
2005,New Hampshire,4.50,1.43,5.93,,,,9,,45,,10,,,,,,,,,
2005,New Jersey,3.75,1.73,5.48,,,,27,,23,,25,,,,,,,,,
2005,New Mexico,3.89,1.61,5.50,,,,23,,33,,23,,,,,,,,,
2005,New York,5.39,1.31,6.70,,,,5,,46,,6,,,,,,,,,
2005,North Carolina,3.04,1.86,4.91,,,,46,,7,,46,,,,,,,,,
2005,North Dakota,4.21,1.51,5.72,,,,14,,41,,16,,,,,,,,,
2005,Ohio,4.34,1.48,5.81,,,,12,,43,,12,,,,,,,,,
2005,Oklahoma,3.52,1.75,5.27,,,,30,,21,,29,,,,,,,,,
2005,Oregon,3.84,1.65,5.49,,,,24,,28,,24,,,,,,,,,
2005,Pennsylvania,3.49,1.73,5.22,,,,31,,24,,32,,,,,,,,,
2005,Rhode Island,5.05,1.30,6.35,,,,8,,48,,8,,,,,,,,,
2005,South Carolina,3.07,1.86,4.93,,,,45,,9,,45,,,,,,,,,
2005,South Dakota,4.07,1.56,5.62,,,,20,,36,,22,,,,,,,,,
2005,Tennessee,3.11,1.84,4.95,,,,43,,11,,43,,,,,,,,,
2005,Texas,3.13,1.84,4.97,,,,42,,12,,41,,,,,,,,,
2005,Utah,4.07,1.56,5.63,,,,19,,37,,21,,,,,,,,,
2005,Vermont,5.54,1.29,6.83,,,,4,,49,,5,,,,,,,,,
2005,Virginia,3.13,1.84,4.97,,,,41,,13,,42,,,,,,,,,
2005,Washington,4.19,1.52,5.71,,,,16,,39,,17,,,,,,,,,
2005,West Virginia,3.20,1.82,5.02,,,,38,,15,,39,,,,,,,,,
2005,Wisconsin,2.49,2.02,4.50,,,,51,,2,,51,,,,,,,,,
2005,Wyoming,3.80,1.64,5.44,,,,25,,31,,26,,,,,,,,,
2006,Alabama,2.72,1.90,4.62,,,,49,,4,,49,,,,,,,,,
2006,Alaska,6.86,1.56,8.42,,,,1,,33,,1,,,,,,,,,
2006,Arizona,3.41,1.69,5.10,,,,33,,22,,35,,,,,,,,,
2006,Arkansas,2.73,1.89,4.62,,,,48,,5,,48,,,,,,,,,
2006,Californa,5.88,0.95,6.83,,,,3,,51,,4,,,,,,,,,
2006,Colorado,3.37,1.70,5.07,,,,36,,21,,36,,,,,,,,,
2006,Conneticut,3.69,1.61,5.30,,,,26,,28,,28,,,,,,,,,
2006,Delaware,3.60,1.74,5.34,,,,29,,17,,26,,,,,,,,,
2006,District of Columbia,4.54,1.54,6.08,,,,9,,35,,9,,,,,,,,,
2006,Florida,3.59,1.64,5.22,,,,30,,26,,30,,,,,,,,,
2006,Georgia,3.03,1.80,4.83,,,,44,,10,,44,,,,,,,,,
2006,Hawaii,5.03,3.06,8.09,,,,7,,1,,2,,,,,,,,,
2006,Idaho,3.31,1.72,5.03,,,,37,,19,,37,,,,,,,,,
2006,Illinois,3.38,1.73,5.10,,,,35,,18,,34,,,,,,,,,
2006,Indiana,3.12,1.81,4.93,,,,40,,8,,39,,,,,,,,,
2006,Iowa,3.96,1.56,5.52,,,,22,,34,,20,,,,,,,,,
2006,Kansas,3.96,1.61,5.57,,,,21,,29,,19,,,,,,,,,
2006,Kentucky,2.99,1.81,4.81,,,,47,,6,,47,,,,,,,,,
2006,Louisiana,3.10,1.78,4.89,,,,41,,14,,41,,,,,,,,,
2006,Maine,4.33,1.44,5.77,,,,13,,42,,12,,,,,,,,,
2006,Maryland,4.08,1.62,5.70,,,,17,,27,,14,,,,,,,,,
2006,Massachussetts,5.05,1.28,6.33,,,,6,,47,,7,,,,,,,,,
2006,Michigan,4.36,1.41,5.76,,,,12,,43,,13,,,,,,,,,
2006,Minnesota,6.09,1.06,7.15,,,,2,,50,,3,,,,,,,,,
2006,Mississippi,2.66,1.91,4.57,,,,50,,3,,50,,,,,,,,,
2006,Missouri,3.17,1.76,4.93,,,,38,,16,,38,,,,,,,,,
2006,Montana,4.14,1.47,5.61,,,,14,,41,,15,,,,,,,,,
2006,Nebraska,3.60,1.68,5.27,,,,28,,25,,29,,,,,,,,,
2006,Nevada,4.13,1.47,5.61,,,,15,,40,,16,,,,,,,,,
2006,New Hampshire,4.38,1.40,5.78,,,,11,,44,,11,,,,,,,,,
2006,New Jersey,3.68,1.69,5.36,,,,27,,23,,25,,,,,,,,,
2006,New Mexico,3.80,1.57,5.37,,,,24,,32,,24,,,,,,,,,
2006,New York,5.26,1.29,6.55,,,,5,,46,,6,,,,,,,,,
2006,North Carolina,2.99,1.81,4.81,,,,46,,7,,46,,,,,,,,,
2006,North Dakota,4.11,1.48,5.59,,,,16,,39,,17,,,,,,,,,
2006,Ohio,4.42,1.39,5.80,,,,10,,45,,10,,,,,,,,,
2006,Oklahoma,3.46,1.70,5.16,,,,31,,20,,32,,,,,,,,,
2006,Oregon,3.80,1.60,5.40,,,,23,,30,,23,,,,,,,,,
2006,Pennsylvania,3.42,1.69,5.10,,,,32,,24,,33,,,,,,,,,
2006,Rhode Island,4.93,1.28,6.20,,,,8,,48,,8,,,,,,,,,
2006,South Carolina,3.02,1.81,4.83,,,,45,,9,,45,,,,,,,,,
2006,South Dakota,4.00,1.51,5.52,,,,19,,37,,21,,,,,,,,,
2006,Tennessee,3.06,1.79,4.85,,,,43,,11,,43,,,,,,,,,
2006,Texas,3.10,1.78,4.88,,,,42,,13,,42,,,,,,,,,
2006,Utah,3.97,1.52,5.49,,,,20,,36,,22,,,,,,,,,
2006,Vermont,5.40,1.27,6.67,,,,4,,49,,5,,,,,,,,,
2006,Virginia,3.41,1.79,5.19,,,,34,,12,,31,,,,,,,,,
2006,Washington,4.08,1.49,5.57,,,,18,,38,,18,,,,,,,,,
2006,West Virginia,3.15,1.77,4.92,,,,39,,15,,40,,,,,,,,,
2006,Wisconsin,2.47,1.96,4.43,,,,51,,2,,51,,,,,,,,,
2006,Wyoming,3.73,1.59,5.32,,,,25,,31,,27,,,,,,,,,
2007,Alabama,2.73,1.88,4.61,,,,49,,4,,49,,,,,,,,,
2007,Alaska,6.75,1.51,8.26,,,,1,,36,,1,,,,,,,,,
2007,Arizona,3.39,1.68,5.07,,,,34,,22,,35,,,,,,,,,
2007,Arkansas,2.74,1.88,4.61,,,,48,,5,,48,,,,,,,,,
2007,Californa,5.91,0.92,6.83,,,,3,,51,,4,,,,,,,,,
2007,Colorado,3.36,1.69,5.05,,,,36,,21,,36,,,,,,,,,
2007,Conneticut,3.72,1.58,5.30,,,,26,,30,,28,,,,,,,,,
2007,Delaware,3.60,1.73,5.33,,,,29,,17,,26,,,,,,,,,
2007,District of Columbia,4.51,1.54,6.04,,,,9,,33,,9,,,,,,,,,
2007,Florida,3.56,1.63,5.19,,,,30,,26,,30,,,,,,,,,
2007,Georgia,3.02,1.79,4.81,,,,44,,10,,44,,,,,,,,,
2007,Hawaii,4.94,3.17,8.11,,,,7,,1,,2,,,,,,,,,
2007,Idaho,3.29,1.71,5.00,,,,37,,19,,37,,,,,,,,,
2007,Illinois,3.37,1.72,5.08,,,,35,,18,,33,,,,,,,,,
2007,Indiana,3.12,1.79,4.91,,,,42,,8,,38,,,,,,,,,
2007,Iowa,3.93,1.56,5.48,,,,21,,32,,20,,,,,,,,,
2007,Kansas,3.98,1.60,5.58,,,,19,,27,,17,,,,,,,,,
2007,Kentucky,2.99,1.80,4.79,,,,47,,6,,47,,,,,,,,,
2007,Louisiana,3.10,1.77,4.87,,,,43,,12,,43,,,,,,,,,
2007,Maine,4.27,1.44,5.71,,,,15,,40,,14,,,,,,,,,
2007,Maryland,4.31,1.54,5.85,,,,13,,34,,10,,,,,,,,,
2007,Massachussetts,4.98,1.29,6.27,,,,6,,47,,7,,,,,,,,,
2007,Michigan,4.30,1.41,5.71,,,,14,,42,,15,,,,,,,,,
2007,Minnesota,6.06,1.06,7.12,,,,2,,50,,3,,,,,,,,,
2007,Mississippi,2.67,1.90,4.56,,,,50,,3,,50,,,,,,,,,
2007,Missouri,3.16,1.75,4.91,,,,38,,16,,39,,,,,,,,,
2007,Montana,4.20,1.44,5.64,,,,16,,41,,16,,,,,,,,,
2007,Nebraska,3.66,1.66,5.31,,,,28,,25,,27,,,,,,,,,
2007,Nevada,4.38,1.39,5.77,,,,10,,45,,11,,,,,,,,,
2007,New Hampshire,4.32,1.40,5.72,,,,12,,43,,13,,,,,,,,,
2007,New Jersey,3.76,1.68,5.44,,,,25,,23,,24,,,,,,,,,
2007,New Mexico,3.91,1.57,5.48,,,,23,,31,,21,,,,,,,,,
2007,New York,5.21,1.29,6.50,,,,5,,46,,6,,,,,,,,,
2007,North Carolina,2.99,1.80,4.79,,,,46,,7,,46,,,,,,,,,
